"","State","X","Year","Population","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Legacy.rape.rate..1","Revised.rape.rate..2","Robbery.rate","Aggravated.assault.rate","Total","American.Indian...Alaska.Native","Asian...Pacific.Islander","Hispanic","Black","White","Economically.disadvantaged","Limited.English.proficiency","Students.with.disabilities"
"22","Michigan",344,2013,9898193,452.2,6.3,45.5,68.5,102,275.3,"77.0","64","87.3","67.3","60.5","82.1","63.9","65.4","53.6"
"23","Minnesota",359,2013,5422060,234.4,2.1,26.8,37.1,67.8,127.4,"79.8","49","78.2","59.0","57.8","85.3","63.8","59.3","58.2"
"24","Mississippi",374,2013,2992206,277.5,7.3,24.3,34.2,80.6,155.4,"75.5","69","92","79","69.5","82.1","70.2","57","22.5"
"25","Missouri",389,2013,6044917,433.7,6.1,27.8,38.1,90.8,298.7,"85.7","82","91","81","72.1","89.1","78.0","69","73.4"
"26","Montana",404,2013,1014864,288.1,2.3,37.6,46,21.4,218.5,"84.4","65","94","79","77","87.0","74.5","57","76"
"27","Nebraska",419,2013,1868969,264.8,3,33.2,45.3,55.4,161.1,"88.5","72","77","78.6","77","92.2","80.9","60","71"
"28","Nevada",434,2013,2791494,605,5.8,39,53.1,185.7,360.4,"70.7","59","81","64.4","56.7","77.2","64.0","24","26.4"
"29","New Hampshire",449,2013,1322616,223.2,1.6,39.5,58.8,48.9,113.9,"87.3","84","86","77","82","87.8","75.7","70","71"
"30","New Jersey",464,2013,8911502,288.9,4.5,9.7,13.3,135.6,135.5,"87.5","76","95.8","78.6","76.4","93.1","77.1","70.5","75.9"
"31","New Mexico",479,2013,2086895,622.5,5.9,54.4,75,87.8,453.8,"70.3","64.3","86","67.9","69","77.0","64.7","65.4","60.1"
"32","New York",494,2013,19695680,393.8,3.3,13.1,18,138.3,234.2,"76.8","62","84.1","62.3","62.9","87.2","67.5","39.1","47.2"
"33","North Carolina",509,2013,9848917,341,4.7,18.2,25.6,94.2,216.5,"82.5","77","90","75.2","77.5","86.2","76.1","49","62.3"
"34","North Dakota",524,2013,723857,273.4,2.2,39.8,49,22.2,199.9,"87.5","63","88","78","80","90.4","72","61","70"
"35","Ohio",539,2013,11572005,291.4,4.1,31.1,37.9,125.2,124.2,"82.2","68","89","68.9","63.4","87.0","69.6","67","69.2"
"36","Oklahoma",554,2013,3853118,446.1,5.1,44.5,60.1,78.5,302.4,"84.8","84.4","90","78.6","77.0","87.2","79.7","64","78.5"
"37","Oregon",569,2013,3928068,242.8,2.1,25.5,37.3,60.9,142.5,"68.7","52","81","60.8","57","71.0","60.4","49.1","37.2"
"38","Pennsylvania",584,2013,12781296,335.1,4.8,21.3,29.7,115.3,185.3,"85.5","74","91.0","70.7","72.6","89.7","76.5","67","75.0"
"39","Rhode Island",599,2013,1053354,257.3,2.9,31.6,42.6,64.8,146.9,"79.7","74","85","69","72","83.9","69.3","73","59"
"40","South Carolina",614,2013,4771929,508.5,6.4,36.4,46.8,83.1,372.2,"77.6","67","88","73","74.6","79.9","70.5","69","43.2"
"41","South Dakota",629,2013,845510,323.2,2.1,53.7,60,18.5,242.7,"82.7","49","85","69","72","88.0","67","59","60"
"42","Tennessee",644,2013,6497269,585.8,5.2,29.3,38.5,112.9,429.3,"86.3","84","90","81.3","77.8","89.8","80.7","73","67.3"
"43","Texas",659,2013,26505637,410.3,4.3,28.7,39.4,120,246.6,"88.0","86","93.7","85.1","84.1","93.0","85.2","71.3","77.8"
"44","Utah",689,2013,626855,123.6,1.6,18,21.7,12,88.4,"83.0","67","80","70.4","70","86.1","72.9","60","67.4"
"45","Vermont",704,2013,8270345,197.8,3.9,17.8,28.4,55.3,110.2,"86.6",">=50%","89","83","73","87.2","75","63","68"
"46","Virginia",719,2013,6973742,290,2.4,29.7,37.3,83.6,166.7,"84.5","—","90.2","76.1","76.8","88.6","74.0","51.8","51.5"
"47","Washington",734,2013,1853595,305.2,3.3,19.8,37.8,35.2,228.9,"76.4","56","82.3","65.9","65.8","79.7","65.0","50.6","54.6"
"48","West Virginia",749,2013,5742953,280.7,2.8,22.8,32,84.2,161.7,"81.4","70","92","82","75","81.9","73.7","83","62.1"
"49","Wisconsin",764,2013,583223,207.8,2.9,24.7,35,12.7,157.2,"88.0","76","90","74.3","66.1","92.4","76.6","62","68.7"
"50","Wyoming",779,2013,316497531,379.1,4.5,25.9,35.9,109,229.6,"77.0","41","86","71","66","80.0","64","68","59"
